0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
6,6,1,12,56,166,0,0,0,0,0,0,0,0,0,0,0
7,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,21,16,145,0,0,0,0,0,0,0,0,0,0,0,0,0
5,33,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,23,46,194,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,4,2,223,0,0,0,0,0,0,0,0,0,0,0,0
6,33,19,39,132,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1,40,185,0,0,0,0,0,0,0,0,0,0,0,0
6,5,23,28,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,46,36,151,0,0,0,0,0,0,0,0,0,0,0,0
6,15,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,29,118,0,0,0,0,0,0,0,0,0,0,0,0
6,14,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,51,102,0,0,0,0,0,0,0,0,0,0,0,0,0
5,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,9,1,20,307,0,0,0,0,0,0,0,0,0,0,0
7,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,42,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14,27,233,0,0,0,0,0,0,0,0,0,0,0,0,0
5,23,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,22,60,5,8,210,0,0,0,0,0,0,0,0,0,0
8,3,22,8,3,3,1,34,156,0,0,0,0,0,0,0,0
10,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,11,183,0,0,0,0,0,0,0,0,0,0,0,0,0
5,22,17,199,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1,19,109,0,0,0,0,0,0,0,0,0,0,0,0
6,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,19,7,58,183,20,64,0,0,0,0,0,0,0,0,0,0
8,26,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
